date,transaction_description,category,amount,type,year,month,years_month,abs_amount
2020-03-23,Property never.,Investment,2385.0,expense,2020,March,2020-03,2385.0
2020-03-23,Enough threat score.,Food & Drink,151.28,expense,2020,March,2020-03,151.28
2020-03-24,Example decision garden.,Entertainment,144.13,expense,2020,March,2020-03,144.13
2020-03-28,Major town suffer begin.,Other,1080.0,income,2020,March,2020-03,1080.0
2020-04-01,Analysis four capital.,Travel,1341.27,expense,2020,April,2020-04,1341.27
2020-04-05,Scientist necessary into.,Utilities,1449.47,expense,2020,April,2020-04,1449.47
2020-04-06,Away third.,Salary,493.56,expense,2020,April,2020-04,493.56
2020-04-06,Along hard need involve among.,Shopping,388.92,expense,2020,April,2020-04,388.92
2020-04-10,Together decide.,Other,3402.0,income,2020,April,2020-04,3402.0
2020-04-17,Government nice.,Salary,1729.04,expense,2020,April,2020-04,1729.04
2020-04-17,See understand door class son.,Investment,996.0,expense,2020,April,2020-04,996.0
2020-04-18,Agent say forward us.,Health & Fitness,1603.18,expense,2020,April,2020-04,1603.18
2020-04-22,City red him.,Investment,2058.0,expense,2020,April,2020-04,2058.0
2020-04-23,Develop staff least figure.,Utilities,849.54,expense,2020,April,2020-04,849.54
2020-04-25,Age cover foreign.,Entertainment,1750.23,expense,2020,April,2020-04,1750.23
2020-04-26,Go meeting quickly.,Investment,914.0,expense,2020,April,2020-04,914.0
2020-04-26,Voice boy wife condition.,Food & Drink,1938.3,expense,2020,April,2020-04,1938.3
2020-04-27,Board its.,Entertainment,340.96,expense,2020,April,2020-04,340.96
2020-04-27,Paper memory history office.,Entertainment,1730.65,expense,2020,April,2020-04,1730.65
2020-04-29,Remember ability.,Utilities,764.16,expense,2020,April,2020-04,764.16
2020-04-30,Hair attorney professional.,Travel,1853.77,expense,2020,April,2020-04,1853.77
2020-05-01,Finish summer rest feel finally.,Travel,851.78,expense,2020,May,2020-05,851.78
2020-05-03,I fast camera inside.,Salary,318.05,expense,2020,May,2020-05,318.05
2020-05-03,Past feeling nature.,Food & Drink,1162.57,expense,2020,May,2020-05,1162.57
2020-05-05,Expert involve oil.,Health & Fitness,123.76,expense,2020,May,2020-05,123.76
2020-05-06,Kid put memory soldier.,Utilities,123.19,expense,2020,May,2020-05,123.19
2020-05-06,Exist professional.,Utilities,146.36,expense,2020,May,2020-05,146.36
2020-05-07,Stand seem.,Investment,3807.0,expense,2020,May,2020-05,3807.0
2020-05-11,Southern challenge animal.,Investment,825.0,expense,2020,May,2020-05,825.0
2020-05-12,Sure authority increase picture create.,Shopping,1318.17,expense,2020,May,2020-05,1318.17
2020-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,expense,2020,May,2020-05,1870.07
2020-05-14,Despite sound receive let.,Health & Fitness,484.99,expense,2020,May,2020-05,484.99
2020-05-15,True building card.,Travel,919.88,expense,2020,May,2020-05,919.88
2020-05-16,Write other wear through partner.,Rent,28.54,expense,2020,May,2020-05,28.54
2020-05-17,Store natural today season.,Rent,155.79,expense,2020,May,2020-05,155.79
2020-05-19,Else easy point she.,Travel,273.59,expense,2020,May,2020-05,273.59
2020-05-20,Phone ever back experience.,Rent,1759.75,expense,2020,May,2020-05,1759.75
2020-05-21,Floor music catch discuss.,Utilities,881.99,expense,2020,May,2020-05,881.99
2020-05-25,Ask imagine my.,Travel,1227.24,expense,2020,May,2020-05,1227.24
2020-05-27,Deal information.,Food & Drink,1339.05,expense,2020,May,2020-05,1339.05
2020-05-28,Task she.,Rent,1878.47,expense,2020,May,2020-05,1878.47
2020-05-29,Accept goal send table.,Investment,1376.0,expense,2020,May,2020-05,1376.0
2020-05-30,Section national owner determine detail.,Utilities,551.97,expense,2020,May,2020-05,551.97
2020-05-31,Ahead from quickly identify.,Health & Fitness,415.16,expense,2020,May,2020-05,415.16
2020-05-31,Try wonder move trade.,Travel,1015.76,expense,2020,May,2020-05,1015.76
2020-06-01,Base investment.,Food & Drink,193.67,expense,2020,June,2020-06,193.67
2020-06-02,Anyone here deep.,Travel,97.73,expense,2020,June,2020-06,97.73
2020-06-05,Seven here sell story.,Utilities,1277.86,expense,2020,June,2020-06,1277.86
2020-06-06,Like see.,Salary,1107.84,expense,2020,June,2020-06,1107.84
2020-06-07,Difference attention whatever american.,Food & Drink,232.63,expense,2020,June,2020-06,232.63
2020-06-08,Current after charge.,Utilities,1095.72,expense,2020,June,2020-06,1095.72
2020-06-09,Prove nor design record.,Utilities,865.28,expense,2020,June,2020-06,865.28
2020-06-09,Paper white responsibility.,Other,826.0,income,2020,June,2020-06,826.0
2020-06-10,Blue agent find.,Entertainment,1367.31,expense,2020,June,2020-06,1367.31
2020-06-10,Walk cup option store.,Health & Fitness,1562.43,expense,2020,June,2020-06,1562.43
2020-06-11,Recent feeling.,Shopping,1947.94,expense,2020,June,2020-06,1947.94
2020-06-11,Site girl into have media.,Entertainment,1730.57,expense,2020,June,2020-06,1730.57
2020-06-12,Support state.,Utilities,1764.02,expense,2020,June,2020-06,1764.02
2020-06-14,Whether player stock religious.,Other,3872.0,income,2020,June,2020-06,3872.0
2020-06-15,Safe whole establish.,Entertainment,540.94,expense,2020,June,2020-06,540.94
2020-06-18,Let stay or focus.,Rent,771.26,expense,2020,June,2020-06,771.26
2020-06-18,Everything late.,Other,2322.0,income,2020,June,2020-06,2322.0
2020-06-18,Particular her agreement surface consider.,Other,3364.0,income,2020,June,2020-06,3364.0
2020-06-19,Something future they red.,Entertainment,453.62,expense,2020,June,2020-06,453.62
2020-06-19,Act way beat result major.,Shopping,663.24,expense,2020,June,2020-06,663.24
2020-06-21,Position make society behavior.,Travel,708.78,expense,2020,June,2020-06,708.78
2020-06-21,Reality fill ok list.,Health & Fitness,1879.08,expense,2020,June,2020-06,1879.08
2020-06-22,International second former reflect.,Other,1962.0,income,2020,June,2020-06,1962.0
2020-06-22,Edge building court.,Travel,86.13,expense,2020,June,2020-06,86.13
2020-06-24,Week real course school everybody.,Health & Fitness,1459.8,expense,2020,June,2020-06,1459.8
2020-06-30,Executive beyond create dinner conference.,Rent,776.54,expense,2020,June,2020-06,776.54
2020-06-30,Call animal approach factor want.,Travel,98.33,expense,2020,June,2020-06,98.33
2020-07-02,Their off.,Entertainment,734.8,expense,2020,July,2020-07,734.8
2020-07-03,Key continue anything wait.,Other,3071.0,income,2020,July,2020-07,3071.0
2020-07-04,State husband.,Rent,1442.31,expense,2020,July,2020-07,1442.31
2020-07-05,Picture approach chance none fight.,Travel,1337.12,expense,2020,July,2020-07,1337.12
2020-07-06,Newspaper indicate other.,Travel,1113.28,expense,2020,July,2020-07,1113.28
2020-07-06,Herself training father open investment.,Other,1925.0,income,2020,July,2020-07,1925.0
2020-07-08,Art whether between several personal.,Travel,818.09,expense,2020,July,2020-07,818.09
2020-07-11,Church community.,Travel,580.96,expense,2020,July,2020-07,580.96
2020-07-12,Able late order.,Health & Fitness,935.33,expense,2020,July,2020-07,935.33
2020-07-12,Discuss religious.,Entertainment,1027.24,expense,2020,July,2020-07,1027.24
2020-07-13,Reach under.,Utilities,1321.11,expense,2020,July,2020-07,1321.11
2020-07-17,Boy different chance enter.,Health & Fitness,195.84,expense,2020,July,2020-07,195.84
2020-07-20,Arrive society.,Entertainment,1348.86,expense,2020,July,2020-07,1348.86
2020-07-21,Keep light fight.,Entertainment,303.23,expense,2020,July,2020-07,303.23
2020-07-21,Matter management ball.,Other,1096.0,income,2020,July,2020-07,1096.0
2020-07-22,Same page ago director.,Entertainment,1439.51,expense,2020,July,2020-07,1439.51
2020-07-22,Week yourself public especially american.,Shopping,495.53,expense,2020,July,2020-07,495.53
2020-07-22,Million kind everything young.,Food & Drink,1786.39,expense,2020,July,2020-07,1786.39
2020-07-23,Why like impact fly.,Rent,1559.06,expense,2020,July,2020-07,1559.06
2020-07-24,Form really explain.,Salary,109.93,expense,2020,July,2020-07,109.93
2020-07-28,Already because education break significant.,Rent,918.36,expense,2020,July,2020-07,918.36
2020-07-28,Price my.,Health & Fitness,1900.58,expense,2020,July,2020-07,1900.58
2020-07-29,Could gun.,Shopping,1662.83,expense,2020,July,2020-07,1662.83
2020-07-30,Kind appear environment capital explain.,Utilities,1489.87,expense,2020,July,2020-07,1489.87
2020-07-31,Ahead picture son.,Travel,1506.04,expense,2020,July,2020-07,1506.04
2020-08-01,Nearly need behavior.,Travel,1533.97,expense,2020,August,2020-08,1533.97
2020-08-01,Water positive child usually.,Entertainment,556.45,expense,2020,August,2020-08,556.45
2020-08-01,Relate indeed lot line lead.,Other,2420.0,income,2020,August,2020-08,2420.0
2020-08-02,Course out second carry.,Health & Fitness,1787.12,expense,2020,August,2020-08,1787.12
2020-08-03,Significant take future.,Investment,2394.0,expense,2020,August,2020-08,2394.0
2020-08-04,Star executive fear.,Utilities,1415.77,expense,2020,August,2020-08,1415.77
2020-08-04,Your majority chance mrs generation.,Other,3210.0,income,2020,August,2020-08,3210.0
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,expense,2020,August,2020-08,133.91
2020-08-05,Task improve fish.,Shopping,1810.63,expense,2020,August,2020-08,1810.63
2020-08-05,History professional star wonder.,Food & Drink,1714.9,expense,2020,August,2020-08,1714.9
2020-08-06,Call whole.,Shopping,959.19,expense,2020,August,2020-08,959.19
2020-08-08,Them key.,Travel,1509.42,expense,2020,August,2020-08,1509.42
2020-08-08,Address century that wide.,Shopping,1081.06,expense,2020,August,2020-08,1081.06
2020-08-09,Sit enter perhaps however.,Entertainment,981.58,expense,2020,August,2020-08,981.58
2020-08-13,System teacher here first.,Salary,67.76,expense,2020,August,2020-08,67.76
2020-08-14,Along attention piece tv young.,Shopping,1451.12,expense,2020,August,2020-08,1451.12
2020-08-16,Within set region beyond.,Utilities,1961.64,expense,2020,August,2020-08,1961.64
2020-08-17,Tough animal someone.,Shopping,1187.87,expense,2020,August,2020-08,1187.87
2020-08-18,Hear certainly most not.,Rent,1289.07,expense,2020,August,2020-08,1289.07
2020-08-19,Company participant him.,Other,1988.0,income,2020,August,2020-08,1988.0
2020-08-20,Tree central leave effect.,Other,3181.0,income,2020,August,2020-08,3181.0
2020-08-21,Together let.,Health & Fitness,681.63,expense,2020,August,2020-08,681.63
2020-08-21,Citizen kid generation onto police.,Travel,1506.5,expense,2020,August,2020-08,1506.5
2020-08-22,Lead few yourself.,Travel,1671.47,expense,2020,August,2020-08,1671.47
2020-08-22,Down occur.,Food & Drink,1999.82,expense,2020,August,2020-08,1999.82
2020-08-26,Yeah far within.,Rent,1564.65,expense,2020,August,2020-08,1564.65
2020-08-27,Account ten sing.,Food & Drink,1899.73,expense,2020,August,2020-08,1899.73
2020-08-27,Seat strategy total simply discover.,Investment,1748.0,expense,2020,August,2020-08,1748.0
2020-08-29,Pm per question.,Salary,1342.22,expense,2020,August,2020-08,1342.22
2020-08-30,Best physical always small almost.,Entertainment,935.42,expense,2020,August,2020-08,935.42
2020-08-31,Bed far section.,Health & Fitness,343.9,expense,2020,August,2020-08,343.9
2020-09-01,Car much will.,Rent,1557.81,expense,2020,September,2020-09,1557.81
2020-09-05,Tree store either station.,Other,1385.0,income,2020,September,2020-09,1385.0
2020-09-05,Second full boy.,Travel,1155.84,expense,2020,September,2020-09,1155.84
2020-09-06,Senior difficult put.,Shopping,799.34,expense,2020,September,2020-09,799.34
2020-09-07,Hand so add mr lawyer.,Rent,1188.27,expense,2020,September,2020-09,1188.27
2020-09-08,Herself police he push likely.,Entertainment,212.78,expense,2020,September,2020-09,212.78
2020-09-11,Trip determine as statement.,Rent,1594.49,expense,2020,September,2020-09,1594.49
2020-09-11,Bring animal also you.,Food & Drink,700.94,expense,2020,September,2020-09,700.94
2020-09-11,Doctor mr.,Health & Fitness,147.22,expense,2020,September,2020-09,147.22
2020-09-16,He we recent music.,Food & Drink,1700.66,expense,2020,September,2020-09,1700.66
2020-09-17,Those pressure street.,Rent,872.71,expense,2020,September,2020-09,872.71
2020-09-17,Allow have kitchen.,Salary,1417.54,expense,2020,September,2020-09,1417.54
2020-09-18,Between rate name within.,Travel,1235.67,expense,2020,September,2020-09,1235.67
2020-09-18,Huge couple.,Salary,935.1,expense,2020,September,2020-09,935.1
2020-09-22,Begin deep police wife.,Travel,651.39,expense,2020,September,2020-09,651.39
2020-09-22,During call north attention.,Rent,565.07,expense,2020,September,2020-09,565.07
2020-09-22,Only spend do.,Salary,1144.0,expense,2020,September,2020-09,1144.0
2020-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,expense,2020,September,2020-09,67.11
2020-09-23,Produce ago.,Utilities,980.22,expense,2020,September,2020-09,980.22
2020-09-25,So draw food company.,Travel,687.27,expense,2020,September,2020-09,687.27
2020-09-27,Score moment second.,Travel,1116.02,expense,2020,September,2020-09,1116.02
2020-09-27,Sing message board mean.,Entertainment,180.37,expense,2020,September,2020-09,180.37
2020-09-27,Feeling poor all your suggest.,Salary,1114.8,expense,2020,September,2020-09,1114.8
2020-09-29,Make travel.,Salary,1295.35,expense,2020,September,2020-09,1295.35
2020-09-30,Focus chance.,Food & Drink,195.18,expense,2020,September,2020-09,195.18
2020-10-01,Person one republican.,Entertainment,619.35,expense,2020,October,2020-10,619.35
2020-10-03,Most law painting between reduce.,Salary,1111.41,expense,2020,October,2020-10,1111.41
2020-10-04,Involve thousand including.,Health & Fitness,710.1,expense,2020,October,2020-10,710.1
2020-10-07,Indeed believe interview professor.,Travel,510.29,expense,2020,October,2020-10,510.29
2020-10-07,Rather listen before.,Investment,3084.0,expense,2020,October,2020-10,3084.0
2020-10-07,It season.,Investment,2069.0,expense,2020,October,2020-10,2069.0
2020-10-08,News only no.,Salary,560.23,expense,2020,October,2020-10,560.23
2020-10-08,Improve them wait.,Travel,1961.22,expense,2020,October,2020-10,1961.22
2020-10-10,Why outside.,Travel,462.69,expense,2020,October,2020-10,462.69
2020-10-10,Official defense.,Investment,4875.0,expense,2020,October,2020-10,4875.0
2020-10-10,Suggest glass news.,Investment,946.0,expense,2020,October,2020-10,946.0
2020-10-12,Off southern suddenly.,Utilities,1279.36,expense,2020,October,2020-10,1279.36
2020-10-14,Participant price.,Rent,1746.71,expense,2020,October,2020-10,1746.71
2020-10-15,Congress reflect.,Salary,962.64,expense,2020,October,2020-10,962.64
2020-10-16,Go consider century price.,Food & Drink,512.43,expense,2020,October,2020-10,512.43
2020-10-16,Scientist will begin.,Rent,1646.01,expense,2020,October,2020-10,1646.01
2020-10-16,Heavy law church.,Rent,1158.27,expense,2020,October,2020-10,1158.27
2020-10-18,Since nothing be apply.,Utilities,306.9,expense,2020,October,2020-10,306.9
2020-10-19,Anyone bank kitchen interest parent.,Travel,179.51,expense,2020,October,2020-10,179.51
2020-10-23,Democratic mention generation.,Shopping,1216.57,expense,2020,October,2020-10,1216.57
2020-10-24,Question or money.,Entertainment,1553.63,expense,2020,October,2020-10,1553.63
2020-10-26,Determine worker.,Salary,601.73,expense,2020,October,2020-10,601.73
2020-10-27,Daughter war.,Shopping,617.71,expense,2020,October,2020-10,617.71
2020-10-27,Face build market.,Rent,1895.7,expense,2020,October,2020-10,1895.7
2020-10-27,Can mouth discover.,Entertainment,536.65,expense,2020,October,2020-10,536.65
2020-10-28,Author technology amount affect.,Investment,1923.0,expense,2020,October,2020-10,1923.0
2020-10-29,Office of remember individual.,Utilities,15.32,expense,2020,October,2020-10,15.32
2020-10-30,Again foot soon peace.,Salary,589.61,expense,2020,October,2020-10,589.61
2020-10-31,Join black.,Travel,1408.95,expense,2020,October,2020-10,1408.95
2020-11-01,Hundred bad that second develop.,Entertainment,1848.58,expense,2020,November,2020-11,1848.58
2020-11-01,Member box.,Entertainment,856.03,expense,2020,November,2020-11,856.03
2020-11-02,Town glass road.,Utilities,1817.74,expense,2020,November,2020-11,1817.74
2020-11-04,Bill eight community.,Rent,128.68,expense,2020,November,2020-11,128.68
2020-11-06,Concern significant.,Travel,883.92,expense,2020,November,2020-11,883.92
2020-11-07,Senior service large under.,Travel,1402.47,expense,2020,November,2020-11,1402.47
2020-11-09,Follow wife firm key light.,Salary,881.14,expense,2020,November,2020-11,881.14
2020-11-10,Option goal avoid.,Shopping,1471.72,expense,2020,November,2020-11,1471.72
2020-11-10,Also hard expert popular.,Food & Drink,191.74,expense,2020,November,2020-11,191.74
2020-11-12,Order his oil west school.,Food & Drink,1999.15,expense,2020,November,2020-11,1999.15
2020-11-12,Training occur could painting.,Travel,1156.73,expense,2020,November,2020-11,1156.73
2020-11-14,Whatever late specific.,Utilities,946.3,expense,2020,November,2020-11,946.3
2020-11-14,Mean common.,Travel,371.16,expense,2020,November,2020-11,371.16
2020-11-14,Yard model particular hair.,Salary,1938.42,expense,2020,November,2020-11,1938.42
2020-11-14,Impact full our smile.,Shopping,673.28,expense,2020,November,2020-11,673.28
2020-11-15,Form newspaper.,Utilities,666.31,expense,2020,November,2020-11,666.31
2020-11-15,Edge surface who.,Travel,1328.54,expense,2020,November,2020-11,1328.54
2020-11-16,Bank professional true financial.,Food & Drink,915.1,expense,2020,November,2020-11,915.1
2020-11-16,Organization visit finally.,Health & Fitness,240.68,expense,2020,November,2020-11,240.68
2020-11-17,Spend prove stock school.,Food & Drink,1318.74,expense,2020,November,2020-11,1318.74
2020-11-20,Position interest.,Shopping,117.87,expense,2020,November,2020-11,117.87
2020-11-22,Guy congress.,Salary,1254.56,expense,2020,November,2020-11,1254.56
2020-11-23,Way main difficult case.,Entertainment,541.44,expense,2020,November,2020-11,541.44
2020-11-25,Such big side.,Other,4089.0,income,2020,November,2020-11,4089.0
2020-11-25,Product then.,Salary,251.64,expense,2020,November,2020-11,251.64
2020-11-26,Heavy class story side speak.,Entertainment,1422.47,expense,2020,November,2020-11,1422.47
2020-11-27,Analysis hair rest wide.,Food & Drink,1108.98,expense,2020,November,2020-11,1108.98
2020-11-27,Doctor dream whole six.,Investment,4280.0,expense,2020,November,2020-11,4280.0
2020-11-29,Question now key show.,Utilities,1001.77,expense,2020,November,2020-11,1001.77
2020-12-01,Month whom stage soon.,Travel,836.83,expense,2020,December,2020-12,836.83
2020-12-05,Appear lose he.,Salary,495.02,expense,2020,December,2020-12,495.02
2020-12-05,Surface expect several evening town.,Shopping,389.31,expense,2020,December,2020-12,389.31
2020-12-06,Begin treat stage this.,Utilities,1729.41,expense,2020,December,2020-12,1729.41
2020-12-10,Apply maybe dog yes.,Shopping,686.35,expense,2020,December,2020-12,686.35
2020-12-10,Agreement us stuff.,Travel,1642.89,expense,2020,December,2020-12,1642.89
2020-12-11,Case expert stop.,Travel,1676.58,expense,2020,December,2020-12,1676.58
2020-12-12,Large accept bad eight.,Salary,1731.87,expense,2020,December,2020-12,1731.87
2020-12-13,Vote participant institution simply down.,Salary,696.8,expense,2020,December,2020-12,696.8
2020-12-14,Draw police.,Shopping,916.14,expense,2020,December,2020-12,916.14
2020-12-14,Book toward.,Entertainment,1961.74,expense,2020,December,2020-12,1961.74
2020-12-16,Place offer.,Shopping,474.79,expense,2020,December,2020-12,474.79
2020-12-16,Investment pass drive.,Food & Drink,643.17,expense,2020,December,2020-12,643.17
2020-12-16,Professor beat window.,Shopping,778.3,expense,2020,December,2020-12,778.3
2020-12-18,Name skill medical after them.,Utilities,995.7,expense,2020,December,2020-12,995.7
2020-12-18,Wonder effect administration small.,Other,1322.0,income,2020,December,2020-12,1322.0
2020-12-20,Run pick sign.,Salary,208.43,expense,2020,December,2020-12,208.43
2020-12-20,And national spend.,Food & Drink,1447.66,expense,2020,December,2020-12,1447.66
2020-12-22,Wonder long consider care.,Utilities,158.91,expense,2020,December,2020-12,158.91
2020-12-23,Fall analysis.,Travel,683.74,expense,2020,December,2020-12,683.74
2020-12-23,Firm financial.,Rent,1705.01,expense,2020,December,2020-12,1705.01
2020-12-24,List already positive experience television.,Shopping,1908.74,expense,2020,December,2020-12,1908.74
2020-12-25,Event son join hundred.,Salary,1746.04,expense,2020,December,2020-12,1746.04
2020-12-26,Fund cost reality happen.,Investment,2423.0,expense,2020,December,2020-12,2423.0
2020-12-28,Song risk bad.,Travel,1994.88,expense,2020,December,2020-12,1994.88
2020-12-30,Family bill foreign fast knowledge.,Shopping,1956.89,expense,2020,December,2020-12,1956.89
2020-12-31,Ready goal amount.,Rent,892.92,expense,2020,December,2020-12,892.92
2021-01-01,Your ever woman way avoid.,Food & Drink,101.52,expense,2021,January,2021-01,101.52
2021-01-06,Message seek civil all.,Travel,723.34,expense,2021,January,2021-01,723.34
2021-01-06,Call door.,Entertainment,1067.02,expense,2021,January,2021-01,1067.02
2021-01-08,Him note painting quickly.,Utilities,348.27,expense,2021,January,2021-01,348.27
2021-01-10,Know baby case happen.,Other,2472.0,income,2021,January,2021-01,2472.0
2021-01-10,Economic box save.,Utilities,472.06,expense,2021,January,2021-01,472.06
2021-01-11,Hit no energy employee land.,Salary,518.1,expense,2021,January,2021-01,518.1
2021-01-12,Customer career available common.,Other,2856.0,income,2021,January,2021-01,2856.0
2021-01-13,Specific whose.,Utilities,156.99,expense,2021,January,2021-01,156.99
2021-01-13,Remember nearly face feel.,Travel,1281.49,expense,2021,January,2021-01,1281.49
2021-01-14,Soldier meeting building.,Travel,919.1,expense,2021,January,2021-01,919.1
2021-01-14,Door management guess.,Shopping,1708.14,expense,2021,January,2021-01,1708.14
2021-01-15,Level work candidate this.,Other,3440.0,income,2021,January,2021-01,3440.0
2021-01-15,Huge response long.,Travel,53.66,expense,2021,January,2021-01,53.66
2021-01-17,Statement available win politics.,Shopping,556.22,expense,2021,January,2021-01,556.22
2021-01-17,Quite general there sister.,Food & Drink,1822.13,expense,2021,January,2021-01,1822.13
2021-01-19,Item treat area.,Travel,1553.72,expense,2021,January,2021-01,1553.72
2021-01-20,Check clearly follow remember generation.,Health & Fitness,445.82,expense,2021,January,2021-01,445.82
2021-01-24,Suffer economy play.,Other,1620.0,income,2021,January,2021-01,1620.0
2021-01-26,By field move.,Food & Drink,624.78,expense,2021,January,2021-01,624.78
2021-01-27,Option oil commercial.,Health & Fitness,1467.4,expense,2021,January,2021-01,1467.4
2021-01-27,American tell ball we side.,Other,3176.0,income,2021,January,2021-01,3176.0
2021-01-27,Short indicate police.,Utilities,409.58,expense,2021,January,2021-01,409.58
2021-01-27,Nation politics few each southern.,Health & Fitness,1066.4,expense,2021,January,2021-01,1066.4
2021-01-29,Law read citizen.,Utilities,521.37,expense,2021,January,2021-01,521.37
2021-02-02,Less future century technology.,Salary,1935.09,expense,2021,February,2021-02,1935.09
2021-02-05,Wish candidate have no.,Health & Fitness,1610.42,expense,2021,February,2021-02,1610.42
2021-02-05,Letter environment easy.,Rent,290.11,expense,2021,February,2021-02,290.11
2021-02-08,Face his.,Shopping,1934.87,expense,2021,February,2021-02,1934.87
2021-02-08,While total spend.,Health & Fitness,189.7,expense,2021,February,2021-02,189.7
2021-02-09,Couple city you level.,Travel,1077.78,expense,2021,February,2021-02,1077.78
2021-02-09,Age war measure whom.,Travel,1173.27,expense,2021,February,2021-02,1173.27
2021-02-11,Good anything manager think pressure.,Health & Fitness,225.61,expense,2021,February,2021-02,225.61
2021-02-11,Mr suggest issue.,Food & Drink,1242.9,expense,2021,February,2021-02,1242.9
2021-02-13,Shake hand hundred now.,Health & Fitness,1831.36,expense,2021,February,2021-02,1831.36
2021-02-16,Network available mean share.,Rent,1274.45,expense,2021,February,2021-02,1274.45
